Discipline,Category,Parameter,Name,Frequency,Unit,Missing,Range Folded,No Coverage,Description,Notes
209,8,22,GaugeInflIndex_48H_Pass2,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 48-hour QPE (2-hour latency),NEW!
209,8,23,GaugeInflIndex_72H_Pass2,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 72-hour QPE (2-hour latency),NEW!
209,9,0,MergedReflectivityQC,2-min,dBZ,-99,n/a,-999,3D Reflectivty Mosaic - 33 CAPPIS (500-19000m),33 levels (one file per level)
209,9,3,MergedRhoHV,5-min,non-dim,-99,n/a,-999,3D RhoHV Mosaic - 33 CAPPIS (500-19000m),"NEW! 33 levels (one file per level), ConUS only"
209,9,4,MergedZdr,5-min,dB,-99,n/a,-999,3D Zdr Mosaic - 33 CAPPIS (500-19000m),"NEW! 33 levels (one file per level), ConUS only"
209,10,0,MergedReflectivityQCComposite,2-min,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (optimal method),
209,10,0,MergedReflectivityQCComposite5km,2-min,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (optimal method) resampled from 1 to 5km,ConUS only
209,10,1,HeightCompositeReflectivity,2-min,m MSL,-1,n/a,-3,Height of Composite Reflectivity Mosaic (optimal method),
209,10,2,LowLevelCompositeReflectivity,2-min,dBZ,-99,n/a,-999,Low-Level Composite Reflectivity Mosaic (0-4km),
209,10,3,HeightLowLevelCompositeReflectivity,2-min,m MSL,-1,n/a,-3,Height of Low-Level Composite Reflectivity Mosaic (0-4km),
209,10,4,LayerCompositeReflectivity_Low,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 0-24kft (low altitude),
209,10,5,LayerCompositeReflectivity_High,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 24-60 kft (highest altitude),
209,10,6,LayerCompositeReflectivity_Super,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 33-60 kft (super high altitude),
209,10,7,CREF_1HR_MAX,60-min,dBZ,-99,n/a,-999,Composite Reflectivity Hourly Maximum,
209,10,9,LayerCompositeReflectivity_ANC,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic (2-4.5km) (for ANC),ConUS only
209,10,10,BREF_1HR_MAX,60-min,dBZ,-99,n/a,-999,Base Reflectivity Hourly Maximum,NEW!
209,11,0,MergedBaseReflectivityQC,2-min,dBZ,-99,n/a,-999,Base Reflectivity Mosaic (optimal method),
209,11,1,MergedReflectivityComposite,2-min,dBZ,-99,n/a,-999,Raw Composite Reflectivity Mosaic (max ref),
209,11,2,MergedReflectivityQComposite,2-min,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (max ref),
209,11,3,MergedBaseReflectivity,2-min,dBZ,-99,n/a,-999,Raw Base Reflectivity Mosaic (optimal method),
209,12,0,FLASH_CREST_MAXUNITSTREAMFLOW,10-min,m^3/s/km^2,-999,n/a,-999,FLASH QPE-CREST Unit Streamflow,
209,12,1,FLASH_CREST_MAXSTREAMFLOW,10-min,m^3/s,-999,n/a,-999,FLASH QPE-CREST Streamflow,
209,12,2,FLASH_CREST_MAXSOILSAT,10-min,%,-999,n/a,-999,FLASH QPE-CREST Soil Saturation,
209,12,4,FLASH_SAC_MAXUNITSTREAMFLOW,10-min,m^3/s/km^2,-999,n/a,-999,FLASH QPE-SAC Unit Streamflow,
209,12,5,FLASH_SAC_MAXSTREAMFLOW,10-min,m^3/s,-999,n/a,-999,FLASH QPE-SAC Streamflow,
209,12,6,FLASH_SAC_MAXSOILSAT,10-min,%,-999,n/a,-999,FLASH QPE-SAC Soil Saturation,
209,12,14,FLASH_QPE_ARI30M,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 30-min,
209,12,15,FLASH_QPE_ARI01H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 01H,
209,12,16,FLASH_QPE_ARI03H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 03H,
209,12,17,FLASH_QPE_ARI06H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 06H,
209,12,18,FLASH_QPE_ARI12H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 12H,
209,12,19,FLASH_QPE_ARI24H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 24H,
209,12,20,FLASH_QPE_ARIMAX,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval Maximum,
209,12,26,FLASH_QPE_FFG01H,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio 01H,no Alaska product
209,12,27,FLASH_QPE_FFG03H,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio 03H,no Alaska product
209,12,28,FLASH_QPE_FFG06H,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio 06H,no Alaska product
209,12,29,FLASH_QPE_FFGMAX,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio Maximum,no Alaska product
209,12,39,FLASH_HP_MAXUNITSTREAMFLOW,10-min,m^3/s/km^2,-999,n/a,-999,FLASH QPE-Hydrophobic Unit Streamflow,
209,12,40,FLASH_HP_MAXSTREAMFLOW,10-min,m^3/s,-999,n/a,-999,FLASH QPE-Hydrophobic Streamflow,
209,13,0,ANC_ConvectiveLikelihood,10-min,non-dim,0,n/a,0,Likelihood of convection over the next 01H,ConUS only
209,13,1,ANC_FinalForecast,10-min,dBZ,0,n/a,0,01H reflectivity forecast,ConUS only
209,14,0,LVL3_HREET,2-min,kft,-1,n/a,-3,Level III High Resolution Enhanced Echo Top mosaic,ConUS only
209,14,1,LVL3_HighResVIL,2-min,kg/m^2,-1,n/a,-3,Level III High Resouion VIL mosaic,ConUS only
Not GRIB2,n/a,n/a,CONVECTPROB (ASCII),2-min,n/a,n/a,n/a,n/a,Prob Severe v1,NEW!  ConUS only
Not GRIB2,n/a,n/a,PROBSEVERE (JSON),2-min,n/a,n/a,n/a,n/a,Prob Severe v2,NEW!  ConUS only
